Valor Esperado;Resultado;Latência;Ciclos
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016753;1149508
7;7;0.016750;1149508
7;9;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;4;0.016751;1149508
7;9;0.016751;1149508
7;9;0.016753;1149508
7;7;0.016751;1149508
7;7;0.016752;1149508
7;7;0.016750;1149508
7;4;0.016754;1149508
7;9;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;9;0.016753;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;9;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016760;1149508
7;7;0.016751;1149508
7;4;0.016754;1149508
7;7;0.016750;1149508
7;7;0.016752;1149508
7;9;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;4;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016752;1149508
7;7;0.016751;1149508
7;8;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016760;1149508
7;4;0.016753;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016753;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;9;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;9;0.016751;1149508
7;4;0.016751;1149508
7;7;0.016750;1149508
7;8;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;2;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;9;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;8;0.016750;1149508
7;9;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;9;0.016750;1149508
7;2;0.016752;1149508
7;4;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;9;0.016750;1149508
7;4;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016754;1149508
7;4;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.017010;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;9;0.016750;1149508
7;9;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;9;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;9;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016752;1149508
7;7;0.016751;1149508
7;9;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016751;1149508
7;7;0.016751;1149508
7;7;0.016750;1149508
7;9;0.016751;1149508
7;9;0.016752;1149508
