Valor Esperado;Resultado;Latência;Ciclos
9;9;0.016755;1149508
9;9;0.016751;1149508
7;7;0.016750;1149508
9;4;0.016751;1149508
0;8;0.016751;1149508
1;1;0.016750;1149508
1;1;0.016750;1149508
1;1;0.016750;1149508
3;2;0.016750;1149508
5;5;0.016751;1149508
1;1;0.016750;1149508
5;7;0.016751;1149508
3;3;0.016751;1149508
0;5;0.016751;1149508
1;1;0.016750;1149508
1;2;0.016750;1149508
8;9;0.016751;1149508
5;5;0.016751;1149508
4;9;0.016750;1149508
2;3;0.016751;1149508
7;7;0.016750;1149508
1;1;0.016750;1149508
3;3;0.016750;1149508
1;1;0.016750;1149508
0;2;0.016750;1149508
1;1;0.016751;1149508
4;4;0.016751;1149508
6;6;0.016750;1149508
0;8;0.016751;1149508
3;3;0.016750;1149508
4;4;0.016750;1149508
1;1;0.016750;1149508
3;3;0.016751;1149508
3;3;0.016750;1149508
0;2;0.016750;1149508
4;4;0.016750;1149508
5;3;0.016750;1149508
2;2;0.016751;1149508
5;1;0.016751;1149508
0;2;0.016751;1149508
7;7;0.016750;1149508
7;7;0.016750;1149508
5;3;0.016750;1149508
0;8;0.016750;1149508
7;7;0.016751;1149508
8;8;0.016750;1149508
3;3;0.016750;1149508
5;5;0.016750;1149508
4;2;0.016756;1149508
8;8;0.016750;1149508
9;4;0.016750;1149508
2;7;0.016751;1149508
1;7;0.016750;1149508
3;3;0.016750;1149508
5;3;0.016753;1149508
2;2;0.016751;1149508
6;6;0.016751;1149508
0;0;0.016760;1149508
9;9;0.016750;1149508
6;6;0.016751;1149508
4;7;0.016750;1149508
5;8;0.016791;1149508
8;8;0.016751;1149508
8;8;0.016750;1149508
8;8;0.016751;1149508
8;8;0.016751;1149508
3;3;0.016751;1149508
5;3;0.016751;1149508
1;1;0.016750;1149508
9;7;0.016751;1149508
6;2;0.016750;1149508
9;9;0.016751;1149508
7;7;0.016750;1149508
3;7;0.016750;1149508
1;1;0.016751;1149508
4;9;0.016751;1149508
2;2;0.016750;1149508
5;3;0.016755;1149508
1;1;0.016751;1149508
6;6;0.016750;1149508
5;9;0.016752;1149508
1;1;0.016751;1149508
0;3;0.016750;1149508
6;6;0.016750;1149508
6;6;0.016750;1149508
5;3;0.016751;1149508
8;7;0.016751;1149508
2;4;0.016751;1149508
6;8;0.016751;1149508
8;3;0.016751;1149508
0;0;0.016750;1149508
1;1;0.016751;1149508
3;3;0.016751;1149508
8;8;0.016751;1149508
9;9;0.016751;1149508
3;3;0.016754;1149508
7;7;0.016750;1149508
3;3;0.016750;1149508
0;7;0.016750;1149508
0;0;0.016750;1149508
4;4;0.016750;1149508
6;9;0.016750;1149508
9;7;0.016751;1149508
2;2;0.016751;1149508
9;9;0.016751;1149508
1;1;0.016751;1149508
8;8;0.016750;1149508
1;1;0.016751;1149508
8;8;0.016751;1149508
9;9;0.016760;1149508
9;9;0.016750;1149508
3;3;0.016751;1149508
2;7;0.016751;1149508
0;6;0.016751;1149508
0;2;0.016751;1149508
9;9;0.016751;1149508
5;5;0.016750;1149508
0;0;0.016752;1149508
2;2;0.016750;1149508
2;4;0.016751;1149508
9;9;0.016750;1149508
3;8;0.016751;1149508
4;4;0.016751;1149508
3;3;0.016751;1149508
1;1;0.016751;1149508
5;7;0.016751;1149508
8;8;0.016751;1149508
0;0;0.016750;1149508
9;9;0.016750;1149508
8;8;0.016752;1149508
1;1;0.016751;1149508
5;8;0.016751;1149508
5;7;0.016751;1149508
1;1;0.016751;1149508
7;7;0.016751;1149508
5;8;0.016750;1149508
4;4;0.016751;1149508
6;6;0.016750;1149508
8;8;0.016754;1149508
3;8;0.016750;1149508
7;7;0.016750;1149508
9;9;0.016750;1149508
7;7;0.016750;1149508
0;2;0.016750;1149508
9;9;0.016751;1149508
8;8;0.016750;1149508
9;7;0.016751;1149508
6;6;0.016750;1149508
9;9;0.016750;1149508
2;2;0.016751;1149508
0;0;0.016750;1149508
0;2;0.016750;1149508
6;6;0.016751;1149508
4;8;0.016751;1149508
3;3;0.016750;1149508
8;9;0.016750;1149508
1;1;0.016751;1149508
3;3;0.016751;1149508
0;0;0.016750;1149508
1;1;0.016751;1149508
1;9;0.016751;1149508
2;4;0.016750;1149508
7;9;0.016751;1149508
7;7;0.016750;1149508
5;8;0.016750;1149508
5;2;0.016751;1149508
4;2;0.016751;1149508
1;1;0.016751;1149508
2;7;0.016750;1149508
3;3;0.016750;1149508
5;9;0.016762;1149508
9;9;0.016750;1149508
3;3;0.016751;1149508
2;2;0.016751;1149508
1;2;0.016750;1149508
3;3;0.016750;1149508
2;2;0.016750;1149508
2;2;0.016750;1149508
1;1;0.016751;1149508
3;3;0.016750;1149508
5;7;0.016750;1149508
1;1;0.016750;1149508
3;3;0.016751;1149508
3;3;0.016750;1149508
7;4;0.016750;1149508
8;9;0.016751;1149508
3;3;0.016750;1149508
9;7;0.016751;1149508
1;1;0.016751;1149508
4;4;0.016751;1149508
2;2;0.016750;1149508
4;4;0.016750;1149508
8;3;0.016751;1149508
0;0;0.016755;1149508
2;2;0.016750;1149508
3;3;0.016751;1149508
6;6;0.016750;1149508
6;6;0.016750;1149508
4;4;0.016750;1149508
9;7;0.016751;1149508
0;9;0.016751;1149508
0;0;0.016751;1149508
0;0;0.016751;1149508
4;4;0.016750;1149508
4;4;0.016751;1149508
2;2;0.016750;1149508
8;8;0.016751;1149508
8;1;0.016751;1149508
4;4;0.016751;1149508
0;7;0.016752;1149508
1;1;0.016751;1149508
1;1;0.016752;1149508
2;2;0.016751;1149508
5;3;0.016750;1149508
